Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
nocross,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.4592896361961204,0.2931683914198485,0.6055887140531742,0.7079150841020075,0.7282419967444385,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7274145415084102,0.7299918610960391,0.822741454150841,0.6085514599823232
nocross,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.4592896361961204,0.2931683914198485,0.6055887140531742,0.7079150841020075,0.7282419967444385,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7274145415084102,0.7299918610960391,0.822741454150841,0.6085514599823232
nocross,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.0,0.7414541508410201,0.8440043407487792,0.8171459576776994,0.7973412913727618,0.7973412913727618,1.0,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.3819444444444444
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
nocross,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.3487593839699713,0.1692111959287532,0.579625610417797,0.6819045035268584,0.765735214324471,0.6603364080303853,0.6603364080303853,1.0,0.4949810092240911,0.5031199131850245,0.765735214324471,0.384236655280959
nocross,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nocross,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8586543678784591,0.8602821486706457,0.938279978296256,0.7048075805138938,0.4691709844559585,0.4651383613673359,0.6304937601736299,0.5963103635377103,0.7860824742268041,0.7860824742268041,1.0,0.4434346174715138,0.5397449810092241,0.5963103635377103,0.8129523445463812
nocross,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.951709169831796,0.9629679869777537,0.9556429734129136,0.3825520833333333,0.3825520833333333,0.9211882799782962,,0.9211882799782962,0.9088442756375474,,0.9088442756375474,0.904639175257732,,0.904639175257732,
nocross,train,1.0,0.946825827455236,1.0,0.946825827455236,0.8373123530475675,0.8390531741725448,0.9319045035268584,0.4940993437429282,0.3593874985715918,0.3205371676614216,0.6752577319587629,0.5408301682040152,0.667932718393923,0.8878187737384698,0.6781063483450895,0.2868963646228974,0.5964460119370592,0.4981009224091156,0.7791353383458647
nofuzzy,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.4592896361961204,0.2931683914198485,0.1190992946283233,0.3800868149755833,0.1896364622897449,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.0572436245252306,0.1961475854584916,0.1650841020075963,0.6085514599823232
nofuzzy,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.4592896361961204,0.2931683914198485,0.1190992946283233,0.3800868149755833,0.1896364622897449,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.0572436245252306,0.1961475854584916,0.1650841020075963,0.6085514599823232
nofuzzy,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.0,0.7414541508410201,0.8440043407487792,0.8171459576776994,0.7973412913727618,0.7973412913727618,1.0,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.3819444444444444
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
nofuzzy,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.3487593839699713,0.1692111959287532,0.579625610417797,0.6819045035268584,0.765735214324471,0.6603364080303853,0.6603364080303853,1.0,0.4949810092240911,0.5031199131850245,0.765735214324471,0.384236655280959
nofuzzy,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nofuzzy,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8586543678784591,0.8602821486706457,0.938279978296256,0.7048075805138938,0.4691709844559585,0.4651383613673359,0.6304937601736299,0.5963103635377103,0.7860824742268041,0.7860824742268041,1.0,0.4434346174715138,0.5397449810092241,0.5963103635377103,0.8129523445463812
nofuzzy,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.951709169831796,0.9629679869777537,0.9556429734129136,0.3825520833333333,0.3825520833333333,0.9211882799782962,,0.9211882799782962,0.9088442756375474,,0.9088442756375474,0.904639175257732,,0.904639175257732,
nofuzzy,train,1.0,0.946825827455236,1.0,0.946825827455236,0.8373123530475675,0.8390531741725448,0.9319045035268584,0.4940993437429282,0.3593874985715918,0.3205371676614216,0.6752577319587629,0.5408301682040152,0.667932718393923,0.8878187737384698,0.6781063483450895,0.2868963646228974,0.5964460119370592,0.4981009224091156,0.7791353383458647
